Project: 43-648_TMCJ_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner: INCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site: Site of Interest 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing option : All elements analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,Absolute stage X (mm).,Absolute stage Y (mm).,Stage X (mm).,Stage Y (mm).,Beam X (mm).,Beam Y (mm).,Weight% C K_SERIES,Weight% N K_SERIES,Weight% O K_SERIES,Weight% Al K_SERIES,Weight% Si K_SERIES,Weight% P K_SERIES,Weight% S K_SERIES,Weight% V K_SERIES,Weight% Cr K_SERIES,Weight% Mn K_SERIES,Weight% Fe K_SERIES,Weight% Ni K_SERIES,Weight% Nb L_SERIES,Weight% Mo L_SERIES,Weight%Total,Atomic% C K_SERIES,Atomic% N K_SERIES,Atomic% O K_SERIES,Atomic% Al K_SERIES,Atomic% Si K_SERIES,Atomic% P K_SERIES,Atomic% S K_SERIES,Atomic% V K_SERIES,Atomic% Cr K_SERIES,Atomic% Mn K_SERIES,Atomic% Fe K_SERIES,Atomic% Ni K_SERIES,Atomic% Nb L_SERIES,Atomic% Mo L_SERIES,Apparent conc.% C K_SERIES,Apparent conc.% N K_SERIES,Apparent conc.% O K_SERIES,Apparent conc.% Al K_SERIES,Apparent conc.% Si K_SERIES,Apparent conc.% P K_SERIES,Apparent conc.% S K_SERIES,Apparent conc.% V K_SERIES,Apparent conc.% Cr K_SERIES,Apparent conc.% Mn K_SERIES,Apparent conc.% Fe K_SERIES,Apparent conc.% Ni K_SERIES,Apparent conc.% Nb L_SERIES,Apparent conc.% Mo L_SERIES,k ratio C K_SERIES,k ratio N K_SERIES,k ratio O K_SERIES,k ratio Al K_SERIES,k ratio Si K_SERIES,k ratio P K_SERIES,k ratio S K_SERIES,k ratio V K_SERIES,k ratio Cr K_SERIES,k ratio Mn K_SERIES,k ratio Fe K_SERIES,k ratio Ni K_SERIES,k ratio Nb L_SERIES,k ratio Mo L_SERIES,Intensity correction C K_SERIES,Intensity correction N K_SERIES,Intensity correction O K_SERIES,Intensity correction Al K_SERIES,Intensity correction Si K_SERIES,Intensity correction P K_SERIES,Intensity correction S K_SERIES,Intensity correction V K_SERIES,Intensity correction Cr K_SERIES,Intensity correction Mn K_SERIES,Intensity correction Fe K_SERIES,Intensity correction Ni K_SERIES,Intensity correction Nb L_SERIES,Intensity correction Mo L_SERIES,Standard C K_SERIES,Standard N K_SERIES,Standard O K_SERIES,Standard Al K_SERIES,Standard Si K_SERIES,Standard P K_SERIES,Standard S K_SERIES,Standard V K_SERIES,Standard Cr K_SERIES,Standard Mn K_SERIES,Standard Fe K_SERIES,Standard Ni K_SERIES,Standard Nb L_SERIES,Standard Mo L_SERIES,Peak area Noise 1,Peak area Noise 2,Peak area Noise 3,Peak area C K_SERIES,Peak area N K_SERIES,Peak area O K_SERIES,Peak area Al K_SERIES,Peak area Si K_SERIES,Peak area P K_SERIES,Peak area S K_SERIES,Peak area V K_SERIES,Peak area V L_SERIES,Peak area Cr K_SERIES,Peak area Cr L_SERIES,Peak area Mn K_SERIES,Peak area Mn L_SERIES,Peak area Fe K_SERIES,Peak area Fe L_SERIES,Peak area Ni K_SERIES,Peak area Ni L_SERIES,Peak area Nb L_SERIES,Peak area Nb M_SERIES,Peak area Mo L_SERIES,Peak area Mo M_SERIES,Peak area sigma Noise 1,Peak area sigma Noise 2,Peak area sigma Noise 3,Peak area sigma C K_SERIES,Peak area sigma N K_SERIES,Peak area sigma O K_SERIES,Peak area sigma Al K_SERIES,Peak area sigma Si K_SERIES,Peak area sigma P K_SERIES,Peak area sigma S K_SERIES,Peak area sigma V K_SERIES,Peak area sigma V L_SERIES,Peak area sigma Cr K_SERIES,Peak area sigma Cr L_SERIES,Peak area sigma Mn K_SERIES,Peak area sigma Mn L_SERIES,Peak area sigma Fe K_SERIES,Peak area sigma Fe L_SERIES,Peak area sigma Ni K_SERIES,Peak area sigma Ni L_SERIES,Peak area sigma Nb L_SERIES,Peak area sigma Nb M_SERIES,Peak area sigma Mo L_SERIES,Peak area sigma Mo M_SERIES,Fit index Noise 1,Fit index Noise 2,Fit index Noise 3,Fit index C K_SERIES,Fit index N K_SERIES,Fit index O K_SERIES,Fit index Al K_SERIES,Fit index Si K_SERIES,Fit index P K_SERIES,Fit index S K_SERIES,Fit index V K_SERIES,Fit index V L_SERIES,Fit index Cr K_SERIES,Fit index Cr L_SERIES,Fit index Mn K_SERIES,Fit index Mn L_SERIES,Fit index Fe K_SERIES,Fit index Fe L_SERIES,Fit index Ni K_SERIES,Fit index Ni L_SERIES,Fit index Nb L_SERIES,Fit index Nb M_SERIES,Fit index Mo L_SERIES,Fit index Mo M_SERIES,Elevation (deg.),Tilt (deg.),Azimuth (deg.),Livetime (s),kV,Process time,Acqusition date/time,Optimization line,Optimization area,Optimization date/time,Number of iterations
"Grid Spectrum(7,1)",,,-0.398,-0.2275,0.0046642,0.0410448,0.8436655,0.2762378,24.4934,-0.1133626,0.4304383,-7.48E-02,-0.1062092,0.3709657,11.43703,-0.2405432,59.44271,-0.2451208,0.220731,1.024964,97.76013,2.403519,0.6748303,52.38569,-0.1437647,0.524418,-8.26E-02,-0.1133447,0.2491807,7.526617,-0.1498224,36.42129,-0.1428646,8.13E-02,0.3655658,0.4659864,0.118453,42.95783,-7.69E-02,0.3448456,-9.25E-02,-0.1016987,0.365356,12.01342,-0.2201464,54.57904,-0.2160789,0.1647377,0.7846376,2.15E-03,1.18E-03,0.1541799,-5.66E-04,2.78E-03,-5.48E-04,-8.94E-04,3.65E-03,0.1201342,-2.20E-03,0.5457904,-2.16E-03,1.65E-03,7.85E-03,0.5523435,0.4288101,1.754017,0.6781167,0.8011504,1.23682,0.9575319,0.9848778,1.050406,0.9152051,0.9181632,0.8815202,0.7463276,0.7655267,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,261,-151,90,36,14,3979,-30,128,-24,-36,61,701,1703,465,-26,-128,5344,1684,-13,-233,45,-31,208,33,99,150,77,44,62,171,40,46,53,111,40,242,79,293,44,215,123,150,27,58,110,38,220,47,0.06,0.06,0.07,0.23,0.27,0.33,0.66,0.11,0.04,0.01,0.67,0.36,0.79,0.38,0.37,0.5,0.44,0.92,0.37,1.23,0.2,0.21,0.29,0.2,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(8,1)",,,-0.398,-0.2275,0.0163246,0.0410448,3.409694,0.3854175,31.96365,0.1515466,0.7730637,2.10E-02,0.699005,0.5269573,14.85254,0.9092162,57.25641,0.5270742,0.3368877,-1.26791,110.5445,7.668237,0.7432684,53.96632,0.1517159,0.7435064,0.0182995,0.5888733,0.2794208,7.715962,0.4470475,27.69387,0.2425041,9.79E-02,-0.3569834,1.93755,0.1593195,54.75685,0.1050957,0.6274494,0.0260533,0.6682165,0.5064771,15.09536,0.817231,51.4968,0.4583709,0.2515335,-0.9689555,8.96E-03,1.59E-03,0.1965278,7.74E-04,5.06E-03,1.54E-04,5.87E-03,5.06E-03,0.1509536,8.17E-03,0.514968,4.58E-03,2.52E-03,-9.69E-03,0.5683196,0.4133761,1.713498,0.6934885,0.8116412,1.241611,0.9559535,0.9611344,1.016356,0.8988287,0.8993559,0.8696507,0.7466391,0.7642147,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,254,-194,137,148,19,5071,41,233,7,238,85,872,2140,644,97,-262,5043,1970,28,-220,68,-49,-257,60,102,157,81,56,77,196,46,54,55,119,40,295,86,334,49,240,119,164,28,63,117,46,237,57,0.28,0.29,0.28,1.09,1.82,1.67,0.38,0.49,0.21,0.1,0.74,1.53,1.06,1.53,0.95,1.48,0.73,1.68,0.47,1.58,0.31,1.37,0.28,1.27,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(9,1)",,,-0.398,-0.2275,0.0279851,0.0410448,1.26495,-2.03E-02,8.662108,0.1702907,0.088076,4.84E-02,-4.11E-02,0.2856557,14.90097,-7.00E-02,47.94549,-5.37E-03,0.2424697,0.324313,73.79589,5.817492,-8.02E-02,29.90697,0.3486249,0.1732245,0.0863149,-7.09E-02,0.3097481,15.83019,-7.04E-02,47.42306,-5.05E-03,0.1441635,0.1867266,0.6809287,-8.25E-03,14.74261,0.11346,6.98E-02,5.99E-02,-3.97E-02,0.2875511,15.92709,-6.61E-02,44.98024,-4.84E-03,0.1819043,0.250293,3.15E-03,-8.25E-05,5.29E-02,8.36E-04,5.63E-04,3.55E-04,-3.49E-04,2.88E-03,0.1592709,-6.61E-04,0.4498024,-4.84E-05,1.82E-03,2.50E-03,0.5383173,0.4056259,1.702035,0.6662731,0.7930133,1.238317,0.96525,1.006635,1.068875,0.9448624,0.9381536,0.9015245,0.7502146,0.771764,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,463,-457,231,52,-1,1365,44,26,15,-14,48,162,2257,153,-8,-57,4405,351,0,-113,49,13,66,5,141,221,114,27,41,129,26,30,36,88,40,196,88,194,45,124,112,81,22,39,80,28,172,33,0.19,0.19,0.21,1.12,1.23,1,0.25,0.14,0.13,0.29,0.98,0.97,0.71,0.91,0.37,0.97,0.46,1.19,0.38,1.54,0.34,0.89,0.36,0.92,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(10,1)",,,-0.398,-0.2275,0.0396455,0.0410448,0.6332728,-0.1123458,10.40455,0.1007421,6.62E-02,8.49E-03,0.2992702,0.2811652,12.0689,0.2836339,42.67061,-8.48E-03,0.1522316,-0.4179527,66.43032,3.074806,-0.4677541,37.92597,0.2177424,0.1375282,1.60E-02,0.5443169,0.3218782,13.53642,0.3010866,44.55896,-8.43E-03,9.56E-02,-0.2540583,0.3421129,-4.76E-02,18.31921,6.72E-02,5.26E-02,1.05E-02,0.2881996,0.2818361,12.84733,0.265801,39.80331,-7.60E-03,0.1140183,-0.3218035,1.58E-03,-4.76E-04,6.57E-02,4.95E-04,4.24E-04,6.22E-05,2.53E-03,2.82E-03,0.1284733,2.66E-03,0.3980331,-7.60E-05,1.14E-03,-3.22E-03,0.5402344,0.4237959,1.760757,0.6673902,0.7935141,1.237074,0.9630079,1.002386,1.064507,0.9371271,0.9328027,0.8957397,0.7489794,0.7699521,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,322,-219,127,26,-6,1697,26,20,3,103,47,163,1821,79,31,-66,3898,610,0,-106,31,-15,-85,15,148,232,117,27,43,137,25,28,30,65,35,211,80,216,43,147,105,99,17,41,61,26,128,29,0,0,0,0.33,0.32,0.38,0.46,0.55,0.39,0.52,0.34,0.36,0.52,0.38,0.48,0.63,0.65,1.33,0.25,1.97,0.55,0.22,0.49,0.24,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(11,1)",,,-0.398,-0.2275,0.051306,0.0410448,0.5433571,-0.5189015,14.05116,0.1089414,0.5246503,-5.18E-02,0.5231626,0.4625428,14.0619,0.1905128,47.753,0.3004914,-0.2932244,-1.378613,76.27718,2.20733,-1.807594,42.85293,0.1970063,0.9114676,-8.16E-02,0.7961231,0.4430341,13.19578,0.1692047,41.7217,0.249736,-0.1539989,-0.7011387,0.291279,-0.2221578,24.74466,7.32E-02,0.4181675,-6.39E-02,0.5021484,0.4593671,14.8128,0.1773243,44.2488,0.2679913,-0.2189854,-1.057954,1.35E-03,-2.22E-03,8.88E-02,5.39E-04,3.37E-03,-3.78E-04,4.41E-03,4.59E-03,0.148128,1.77E-03,0.442488,2.68E-03,-2.19E-03,-1.06E-02,0.5360764,0.428131,1.761105,0.6721259,0.7970409,1.234183,0.9598324,0.9931342,1.053406,0.9307736,0.9266171,0.8918436,0.7468185,0.7674044,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,230,-129,54,16,-20,1650,21,112,-12,129,55,276,1512,137,15,-58,3120,570,12,-105,-43,-4,-202,19,120,181,90,26,42,142,27,31,36,78,34,212,72,220,40,147,95,96,22,37,74,27,152,31,0.06,0.06,0.07,0.19,0.14,0.09,0.18,0.22,0.19,0.78,0.76,0.14,0.79,0.11,0.6,0.27,0.5,0.86,0.15,1.33,0.64,0.13,0.63,0.14,30,0,0,0.49,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(1,2)",,,-0.398,-0.2275,-0.0597015,0.0373134,4.460162,1.403888,25.89768,0.1977056,0.207107,0.184592,0.414836,0.3162796,14.08792,0.6718048,44.2214,0.3821831,-5.66E-02,1.26366,93.65266,11.51743,3.108647,50.20559,0.2272631,0.228712,0.1848416,0.4012756,0.1925659,8.403514,0.3792751,24.55934,0.2019033,-1.89E-02,0.4085211,2.575393,0.5397508,40.52926,0.1391877,0.1698278,0.2315923,0.3986878,0.3002316,14.08792,0.6009498,39.49492,0.3315859,-0.0425152,0.9708475,1.19E-02,5.40E-03,0.1454636,1.03E-03,1.37E-03,1.37E-03,3.50E-03,3.00E-03,0.1408792,6.01E-03,0.3949492,3.32E-03,-4.25E-04,9.71E-03,0.5776318,0.3845312,1.565311,0.7040163,0.8200011,1.254617,0.9610729,0.9492593,0.9998263,0.894528,0.8930408,0.8676088,0.751596,0.768281,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,438,-419,235,216,72,4121,60,69,65,156,55,760,2192,333,78,-145,4246,1193,22,-165,-13,-15,283,28,111,171,89,55,71,171,41,44,60,126,40,268,88,283,46,197,112,132,27,54,126,45,251,57,0.06,0.06,0.07,0.63,0.89,0.64,0.38,1.22,1.29,1.05,0.79,0.76,0.49,0.64,0.54,0.77,0.63,1.06,0.5,1.2,1.23,0.63,1.2,0.63,30,0,0,0.74,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(2,2)",,,-0.398,-0.2275,-0.0536381,0.0373134,4.190122,1.513737,20.97945,7.48E-02,0.3505579,7.64E-02,0.1950704,0.6212153,14.01434,0.6023315,48.67911,0.1679859,3.37E-02,0.4865949,91.9854,11.76718,3.645276,44.23096,9.35E-02,0.4210124,8.32E-02,0.2052101,0.4113308,9.091334,0.3698177,29.40138,9.65E-02,1.22E-02,0.1710775,2.423857,0.5931388,32.67709,5.18E-02,0.2845764,9.52E-02,0.1873253,0.6005466,14.32136,0.5453445,43.99842,0.1468391,0.0252902,0.3735578,1.12E-02,5.93E-03,0.1172813,3.81E-04,2.30E-03,5.64E-04,1.65E-03,6.01E-03,0.1432136,5.45E-03,0.4399842,1.47E-03,2.53E-04,3.74E-03,0.578634,0.3918943,1.557703,0.6920595,0.8117828,1.246691,0.9602959,0.9667279,1.021922,0.9053879,0.9038088,0.8741148,0.7497622,0.7676976,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,539,-287,222,392,153,6389,43,223,51,141,212,1167,4285,896,136,-326,9095,2330,19,-358,14,-23,209,43,150,230,119,69,88,217,51,58,69,161,56,336,123,367,67,260,163,177,37,71,149,57,316,72,0.13,0.13,0.14,0.95,1.59,1.36,0.33,1.26,1.14,0.05,0.95,1.4,1.59,1.26,1.19,1.42,0.99,2.03,0.49,2.39,0.64,1.11,0.71,1.05,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(3,2)",,,-0.398,-0.2275,-0.0419776,0.0373134,1.358023,0.4515675,16.7298,0.2442162,0.26905,1.37E-03,-0.1806458,0.4053311,16.91099,2.73E-02,48.33571,0.2522907,0.145303,0.7289606,85.67931,4.678533,1.33401,43.26928,0.3745261,0.3963919,1.83E-03,-0.2331267,0.3292423,13.45801,2.06E-02,35.81377,0.177816,6.47E-02,0.3144025,0.7544739,0.1893075,28.51037,0.1662059,0.2160652,1.70E-03,-0.1740715,0.3974938,17.53198,2.53E-02,44.40477,0.2242284,0.1090754,0.5615855,3.49E-03,1.89E-03,0.1023266,1.22E-03,1.74E-03,1.01E-05,-1.53E-03,3.97E-03,0.1753198,2.53E-04,0.4440477,2.24E-03,1.09E-03,5.62E-03,0.555589,0.419229,1.704332,0.6805697,0.8030679,1.243016,0.9636063,0.9806641,1.036733,0.9250386,0.9186669,0.8887701,0.7506762,0.7703926,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,577,-381,266,122,49,5574,137,170,1,-131,140,1027,5246,638,6,-297,9179,1749,29,-258,62,-89,314,60,144,222,115,55,75,199,51,58,65,144,57,291,133,331,68,233,163,158,36,66,142,47,286,58,0.13,0.1,0.1,0.74,1.5,1.49,0.79,0.54,0.28,0.34,0.72,1.31,1.8,1.28,1.57,1.58,1.13,2.94,0.41,3.62,0.4,1.05,0.41,0.93,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(4,2)",,,-0.398,-0.2275,-0.0303172,0.0373134,3.041961,1.181777,30.00199,0.100925,0.3919831,0.1366939,2.10E-02,0.5185158,14.61289,0.6984254,57.01579,7.18E-02,0.2513817,0.8084463,108.8536,7.088573,2.361429,52.48577,0.1046909,0.3906266,0.1235197,1.84E-02,0.2848856,7.86594,0.355821,28.57457,3.42E-02,7.57E-02,0.23585,1.757195,0.4922592,50.06441,6.99E-02,0.318074,0.1702383,2.02E-02,0.4998387,14.90839,0.6295429,51.41623,6.26E-02,0.1881282,0.6193236,8.12E-03,4.92E-03,0.1796862,5.15E-04,2.57E-03,1.01E-03,1.77E-04,5.00E-03,0.1490839,6.30E-03,0.5141622,6.26E-04,1.88E-03,6.19E-03,0.5777256,0.4165685,1.66902,0.6923999,0.8114493,1.245398,0.9582655,0.9639791,1.020232,0.9013734,0.9017463,0.8717741,0.7483768,0.7660661,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,527,-252,175,284,127,9789,57,250,92,15,177,1315,4461,1439,157,-711,10629,4440,8,-420,107,-51,347,61,145,221,113,76,107,273,62,72,83,180,59,409,126,472,69,345,175,238,41,85,174,61,354,75,0.34,0.35,0.34,1.81,4.14,4.58,0.16,0.46,0.51,0.17,0.45,4.4,0.78,4.51,0.64,4.52,0.8,4.9,0.69,4.38,0.34,3,0.33,2.69,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(5,2)",,,-0.398,-0.2275,-0.0186567,0.0373134,3.155217,1.345697,29.86053,9.79E-02,0.5115194,-0.0420833,0.1044738,0.5029358,14.82703,0.2593184,56.92111,5.96E-02,6.81E-02,2.89E-02,107.7003,7.358498,2.69117,52.28098,0.1016633,0.5101657,-3.81E-02,0.0912701,0.2765512,7.98773,0.1322207,28.55042,2.84E-02,2.05E-02,8.44E-03,1.857174,0.5748014,50.71908,0.0676082,0.4139627,-5.22E-02,9.99E-02,0.484724,15.14464,0.2333515,51.21004,5.18E-02,5.08E-02,0.022104,8.58E-03,5.75E-03,0.1820358,4.98E-04,3.34E-03,-3.09E-04,8.78E-04,4.85E-03,0.1514464,2.33E-03,0.5121005,5.18E-04,5.08E-04,2.21E-04,0.5886815,0.4271721,1.698783,0.6903992,0.8092819,1.241108,0.9562613,0.9637887,1.021431,0.8998643,0.8996338,0.8695051,0.7467924,0.7644618,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,623,-413,261,300,148,9917,56,325,-28,75,171,1841,4532,1423,58,-484,10586,4185,7,-411,29,-83,12,71,148,223,113,76,105,272,62,73,83,173,60,402,127,465,69,338,174,234,39,88,171,62,341,77,0.09,0.1,0.1,0.7,0.82,0.89,0.31,0.23,0.25,0.31,0.68,1.22,0.76,1.25,0.91,1.47,1.2,1.65,0.87,1.83,0.42,0.59,0.46,0.59,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(6,2)",,,-0.398,-0.2275,-0.0069963,0.0373134,2.683875,1.547355,30.2274,0.1113137,0.6535062,-0.1064844,0.2527036,0.4783803,13.24813,0.3447343,58.15226,0.1204405,-0.3216658,-0.4889956,106.9029,6.276167,3.102818,53.06637,0.115874,0.6535386,-9.66E-02,0.2213631,0.2637599,7.156421,0.1762475,29.24679,5.76E-02,-9.72E-02,-0.1431583,1.559861,0.6672072,51.39629,7.67E-02,0.5279877,-0.1318439,0.2411807,0.4623758,13.59628,0.3100701,52.3933,0.1046802,-0.2397083,-0.3730938,7.21E-03,6.67E-03,0.1844664,5.65E-04,4.26E-03,-7.81E-04,2.12E-03,4.62E-03,0.1359628,3.10E-03,0.5239329,1.05E-03,-2.40E-03,-3.73E-03,0.581261,0.4312259,1.700554,0.6891146,0.8079324,1.238151,0.9544015,0.9665441,1.026291,0.899446,0.9009336,0.8691442,0.7452093,0.76298,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,698,-693,413,252,172,10049,63,414,-71,181,163,1985,4068,1475,77,-453,10831,4372,14,-333,-137,-111,-209,104,154,237,125,75,104,275,63,73,83,169,59,403,122,470,69,342,178,236,40,88,171,64,337,79,0.25,0.26,0.28,1.16,1.73,1.71,0.46,0.28,0.33,0.47,1,2.02,0.9,1.96,0.84,1.98,0.27,2.22,0.43,2.07,0.5,1.29,0.68,1.27,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(7,2)",,,-0.398,-0.2275,0.0046642,0.0373134,1.757164,0.4164982,25.72373,-1.99E-02,0.5382783,0.2116322,0.2995295,0.5122171,14.08988,0.3344025,53.62634,0.164767,0.8773282,-0.3714154,98.16044,4.758832,0.9672427,52.30082,-2.40E-02,0.6234252,0.2222552,0.303871,0.3270736,8.814647,0.1979995,31.2353,0.0912905,0.3071749,-0.1259295,0.9794321,0.1758785,44.23995,-1.37E-02,0.435487,0.2630582,0.2869585,0.4968588,14.47979,0.3037426,48.69088,0.1444919,0.6557633,-0.2844677,4.53E-03,1.76E-03,0.1587816,-1.01E-04,3.51E-03,1.56E-03,2.52E-03,4.97E-03,0.1447979,3.04E-03,0.4869088,1.44E-03,6.56E-03,-2.84E-03,0.5574232,0.4222851,1.720079,0.6877725,0.8090379,1.242997,0.9580309,0.9700156,1.027682,0.9083138,0.9079392,0.8769464,0.7474551,0.7659018,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,556,-410,226,158,45,8650,-11,342,142,216,175,1243,4333,844,76,-506,10065,3337,19,-431,374,-131,-159,91,136,205,103,68,93,248,58,67,77,162,58,362,123,421,68,304,171,209,38,80,160,57,322,70,0.22,0.23,0.24,0.63,1.3,1.2,0.75,0.4,0.36,0.45,0.36,1.07,0.46,1.04,0.65,1.18,0.74,2.27,0.63,2.57,0.47,0.98,0.66,0.88,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
